algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
aihnngc,"hnng(euclidean,batch)",10,1.0,1.0,1.0,0.08592252,26.083627840757345,37.54568,57.906162,65.98999,73.361694,0.0,2993.6082928180695,10.0,-84007.81640625,-3220.7105897662896,fashion-mnist-784-euclidean
hnng,hnng,10,1.0,1.0,1.0,0.08592252,53.10207409504871,18.815876,24.346184,25.522907,31.385292,0.0,2237.9118592739105,10.0,207072.0,3899.5087014747623,fashion-mnist-784-euclidean
hnnglib,hnnglib,10,0.01759,0.019950000000000002,0.05286999999999999,0.18835519,32960.924410691325,0.027418137,0.052690506,0.06914139,0.09226892,0.0,929.7624490261078,10.0,193824.0,5.880417599487306,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 10)",10,0.91944,0.97112,0.9994500000000001,0.08623645,11178.041244888762,0.084877014,0.11920929,0.14519691,0.18286705,0.0,68.8865339756012,10.0,199584.0,17.855006581878662,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 120)",10,0.99929,0.9999,1.0,0.08592801,2532.4836623169954,0.3902912,0.5033135,0.55313575,0.61273783,0.0,68.8865339756012,10.0,199584.0,78.80959035186768,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 20)",10,0.97535,0.99487,0.9998400000000001,0.086011596,8210.086242721025,0.11944771,0.15687943,0.18382072,0.22244734,0.0,68.8865339756012,10.0,199584.0,24.309610654449465,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 200)",10,0.9996,0.9999100000000001,1.0,0.08592615,1770.884728826436,0.5583763,0.7267117,0.79107517,0.86642057,0.0,68.8865339756012,10.0,199584.0,112.70298780670167,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 40)",10,0.9936999999999999,0.9992000000000001,0.99992,0.085946746,5277.243430251511,0.18715858,0.24008751,0.26917458,0.31447715,0.0,68.8865339756012,10.0,199584.0,37.81974484176636,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 400)",10,0.99985,0.9999800000000001,1.0,0.08592428,1079.49578177832,0.9160042,1.2009144,1.2946199,1.40524,0.0,68.8865339756012,10.0,199584.0,184.88631763916018,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 600)",10,0.9999499999999999,1.0,1.0,0.0859235,809.3787578677144,1.2218952,1.5988469,1.7464231,1.9311905,0.0,68.8865339756012,10.0,199584.0,246.58912537536622,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 80)",10,0.9986200000000001,0.99985,1.0,0.085930385,3354.7797587549085,0.2951622,0.37837029,0.4117489,0.46014902,0.0,68.8865339756012,10.0,199584.0,59.49243001098633,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 800)",10,0.9999499999999999,1.0,1.0,0.0859235,643.3494005128354,1.5377998,2.0032167,2.19328,2.385863,0.0,68.8865339756012,10.0,199584.0,310.2264490196228,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 10)",10,0.93395,0.9792299999999999,0.9991300000000001,0.08620355,9945.601927324593,0.096559525,0.1347065,0.16069412,0.20122574,0.0,71.80470395088196,10.0,201600.0,20.270266342163083,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 120)",10,0.9995900000000001,0.9999800000000001,1.0,0.08592511,2231.4767469470116,0.4427433,0.5862713,0.64635277,0.7324258,0.0,71.80470395088196,10.0,201600.0,90.34376014709473,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 20)",10,0.9814700000000001,0.9962799999999999,0.9997,0.08600159,6955.676118503262,0.1411438,0.18930435,0.22101635,0.2625007,0.0,71.80470395088196,10.0,201600.0,28.983523178100583,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 200)",10,0.99976,0.9999800000000001,1.0,0.08592425,1560.7889175198845,0.6330013,0.84186786,0.92840195,1.0230553,0.0,71.80470395088196,10.0,201600.0,129.16544815063477,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 40)",10,0.99596,0.99949,0.9999,0.08594113,4500.462353045446,0.21910667,0.2901554,0.3280663,0.3881501,0.0,71.80470395088196,10.0,201600.0,44.79539749145508,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 400)",10,0.9998799999999999,0.9999800000000001,1.0,0.08592343,977.0501634402123,1.0106564,1.3509034,1.4843965,1.614095,0.0,71.80470395088196,10.0,201600.0,206.33536285400388,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 600)",10,0.99996,1.0,1.0,0.08592281,723.3343261070102,1.3637543,1.8167615,2.0044036,2.208473,0.0,71.80470395088196,10.0,201600.0,278.70929489135744,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 80)",10,0.9990600000000001,0.99985,1.0,0.085927844,2937.0488439797136,0.3361702,0.44132465,0.48756832,0.54383534,0.0,71.80470395088196,10.0,201600.0,68.64032936096191,fashion-mnist-784-euclidean
