algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 10)",10,0.6603600000000001,0.76194,0.9986499999999999,0.091127574,15979.116648240328,0.062942505,0.0927567,0.11635059,0.17285393,0.0,985.9750638008118,10.0,733376.0,45.8959037689209,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 120)",10,0.98065,0.9982,1.0,0.08940329,8662.264528532492,0.3219843,0.40651554,0.45967102,0.5302429,0.0,985.9750638008118,10.0,733376.0,84.66331149139404,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 20)",10,0.8009700000000001,0.89673,1.0,0.09016203,10953.644943773275,0.08940697,0.12755394,0.15426147,0.19216678,0.0,985.9750638008118,10.0,733376.0,66.95269052124023,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 200)",10,0.9928800000000001,0.9995200000000001,1.0,0.08937102,2884.7250710313783,0.49364567,0.60892105,0.6923722,0.79345727,0.0,985.9750638008118,10.0,733376.0,254.22734643402097,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 40)",10,0.9012100000000001,0.96767,1.0,0.08967948,-10688.70374584645,0.13566017,0.1821518,0.21458137,0.25892305,0.0,985.9750638008118,10.0,733376.0,-68.61224872894287,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 400)",10,0.99857,0.9999499999999999,1.0,0.089357086,1593.5890841968414,0.8878708,1.0602474,1.1954424,1.3792593,0.0,985.9750638008118,10.0,733376.0,460.20395550689705,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 600)",10,0.9994999999999999,0.9999800000000001,1.0,0.08935485,969.8457187652192,1.2807846,1.5280247,1.6732402,1.9121205,0.0,985.9750638008118,10.0,733376.0,756.1780042022705,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 80)",10,0.96157,0.9942,1.0,0.089459166,4370.052204481532,0.2310276,0.29135936,0.33140182,0.3922002,0.0,985.9750638008118,10.0,733376.0,167.81859018707274,sift-128-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 800)",10,0.9997999999999999,1.0,1.0,0.08935438,722.8121026027898,1.6498566,1.9605279,2.133152,2.4626396,0.0,985.9750638008118,10.0,733376.0,1014.6149979492187,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 10)",10,0.71209,0.81562,0.99924,0.0907057,13353.709476944394,0.07200241,0.10609627,0.12803078,0.16164896,0.0,1193.498377084732,10.0,764416.0,57.24371953125,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 120)",10,0.9896800000000001,0.99935,1.0,0.089377515,4374.059929454885,0.40984154,0.5226254,0.62824225,0.9753709,0.0,1193.498377084732,10.0,764416.0,174.76120865478518,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 20)",10,0.84239,0.93,0.9999,0.08993666,-15001.570150684393,0.104665756,0.14686584,0.1783371,0.21362607,0.0,1193.498377084732,10.0,764416.0,-50.95573278808594,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 200)",10,0.99695,0.99992,1.0,0.08935983,3032.467682231121,0.61035156,0.7328987,0.787735,0.8564042,0.0,1193.498377084732,10.0,764416.0,252.07721239013674,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 40)",10,0.9304399999999999,0.98307,1.0,0.08955934,6011.578257436568,0.16927719,0.21743774,0.25343895,0.31185335,0.0,1193.498377084732,10.0,764416.0,127.15729002685546,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 400)",10,0.99961,0.9999800000000001,1.0,0.089354664,1191.2267425505088,1.1258125,1.3680577,1.4884518,1.6915828,0.0,1193.498377084732,10.0,764416.0,641.704868347168,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 600)",10,0.9999,1.0,1.0,0.089354225,749.2944030514402,1.5890598,1.916182,2.0868871,3.759308,0.0,1193.498377084732,10.0,764416.0,1020.1811155761718,sift-128-euclidean
hnswlib,"hnswlib ({'M': 16, 'efConstruction': 500}, 'efQuery': 80)",10,0.9772000000000001,0.9977199999999999,1.0,0.089411795,32459.055721983652,0.28848648,0.3631115,0.40292972,0.4568158,0.0,1193.498377084732,10.0,764416.0,23.550161364746092,sift-128-euclidean
